Method, Accuracy, Compare to Dictionary
Predict As 0, 0.30327868852459017, 0.961038961038961
Dictionary, 0.3155737704918033, 1.0
Combination with Ridge, 0.36065573770491804, 1.1428571428571428
Combination with Linear SVR, 0.36065573770491804, 1.1428571428571428
Combination with Bayesian Ridge, 0.36065573770491804, 1.1428571428571428
Linear SVR, 0.4057377049180328, 1.2857142857142856
Lasso, 0.30327868852459017, 0.961038961038961
Combination with Lasso, 0.29918032786885246, 0.948051948051948
Bayesian Ridge, 0.3975409836065574, 1.2597402597402596
Predict As Mode, 0.30327868852459017, 0.961038961038961
Predict As Mean, 0.30327868852459017, 0.961038961038961
Predict As Median, 0.30327868852459017, 0.961038961038961
Ridge, 0.3975409836065574, 1.2597402597402596
7
