Method, Accuracy, Compare to Dictionary
Dictionary, 0.3729508196721312, 1.0
Predict As 0, 0.35655737704918034, 0.956043956043956
Combination with Ridge, 0.4426229508196721, 1.1868131868131868
Combination with Linear SVR, 0.430327868852459, 1.1538461538461537
Linear SVR, 0.5081967213114754, 1.3626373626373625
Lasso, 0.35655737704918034, 0.956043956043956
Combination with Bayesian Ridge, 0.4426229508196721, 1.1868131868131868
Combination with Lasso, 0.35655737704918034, 0.956043956043956
Bayesian Ridge, 0.48770491803278687, 1.3076923076923075
Predict As Mode, 0.35655737704918034, 0.956043956043956
Predict As Mean, 0.35655737704918034, 0.956043956043956
Predict As Median, 0.35655737704918034, 0.956043956043956
Ridge, 0.48770491803278687, 1.3076923076923075
